county,num_providers
Alameda,29
Alpine,1
Amador,3
Butte,5
Butte ,1
Calaveras,2
Camarillo,1
Colusa,1
Contra Costa,18
Del Norte,2
Douglas (NV),1
El Dorado,1
Fresno,10
Glenn,2
Humboldt,7
Imperial,3
Inyo,5
Kern,17
Kings,5
Lake,2
Lassen,4
Los Angeles,100
Madera,7
Marin,8
Mariposa,1
Mendocino,3
Mendocino County,1
Merced,6
Modoc,1
Mono,3
Monterey,3
Napa,2
Nevada,5
Orange,29
Placer,10
Plumas,1
Riverside,16
Sacramento,14
San Benito,1
San Bernadino,2
San Bernardino,17
San Diego,14
San Francisco,14
San Joaquin,17
San Luis Obispo,12
San Luis Obispo ,1
San Mateo,12
Santa Barbara,13
Santa Clara,18
Santa Cruz,4
Shasta,5
Sierra,1
Siskiyou,3
Solano,14
Sonoma,10
Sonoma ,1
Stanislaus,10
Sutter,2
Tehama,2
Trinity,2
Tulare,11
Tuolumne,3
Ventura,10
Yolo,5
Yuba,1
Yuma,1